ID	YearClass	SamplingDayNumber	Current	ThreeStocks	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	Subpop	Latitude	Longitude
A0022	2019	165 	Kuroshio	PAJ	2019K	96.39	11.58	Kanagawa	111	54	Odawara	35.227	139.168
A0023	2019	165 	Kuroshio	PAJ	2019K	115.56	22.04	Kanagawa	143	22	Odawara	35.227	139.168
A0024	2019	165 	Kuroshio	PAJ	2019K	92.19	11.75	Kanagawa	104	61	Odawara	35.227	139.168
A0025	2019	165 	Kuroshio	PAJ	2019K	102.98	15.15	Kanagawa	121	44	Odawara	35.227	139.168
A0026	2019	144 	Kuroshio	PAJ	2019K	139.23	40.28	Mie	201	-57	Narayaura	34.230	136.537
A0027	2019	144 	Kuroshio	PAJ	2019K	142.39	40.89	Mie	NA	NA	Narayaura	34.230	136.537
A0028	2019	144 	Kuroshio	PAJ	2019K	136.68	32.84	Mie	193	-49	Narayaura	34.230	136.537
A0029	2019	144 	Kuroshio	PAJ	2019K	135.65	37.59	Mie	190	-46	Narayaura	34.230	136.537
A0030	2019	144 	Kuroshio	PAJ	2019K	184.82	84.28	Mie	NA	NA	Narayaura	34.230	136.537
A0031	2019	144 	Kuroshio	PAJ	2019K	178.47	86.05	Mie	NA	NA	Narayaura	34.230	136.537
A0032	2019	144 	Kuroshio	PAJ	2019K	140.33	41.75	Mie	NA	NA	Narayaura	34.230	136.537
A0033	2019	144 	Kuroshio	PAJ	2019K	153.61	52.05	Mie	NA	NA	Narayaura	34.230	136.537
A0034	2019	144 	Kuroshio	PAJ	2019K	144.43	44.37	Mie	NA	NA	Narayaura	34.230	136.537
A0035	2019	144 	Kuroshio	PAJ	2019K	129.17	30.41	Mie	173	-29	Narayaura	34.230	136.537
A0036	2019	144 	Kuroshio	PAJ	2019K	149.58	49.63	Mie	NA	NA	Narayaura	34.230	136.537
A0037	2019	144 	Kuroshio	PAJ	2019K	176.21	81.52	Mie	NA	NA	Narayaura	34.230	136.537
A0038	2019	144 	Kuroshio	PAJ	2019K	119.58	22.78	Mie	151	-7	Narayaura	34.230	136.537
A0039	2019	144 	Kuroshio	PAJ	2019K	140.30	36.68	Mie	NA	NA	Narayaura	34.230	136.537
A0040	2019	144 	Kuroshio	PAJ	2019K	138.64	41.32	Mie	199	-55	Narayaura	34.230	136.537
A0041	2019	144 	Kuroshio	PAJ	2019K	150.26	49.58	Mie	NA	NA	Narayaura	34.230	136.537
A0042	2019	142 	Kuroshio	PAJ	2019K	103.44	13.51	Mie	122	20	Namikiri	34.286	136.918
A0043	2019	142 	Kuroshio	PAJ	2019K	168.67	69.81	Mie	NA	NA	Namikiri	34.286	136.918
A0044	2019	142 	Kuroshio	PAJ	2019K	163.97	62.08	Mie	NA	NA	Namikiri	34.286	136.918
A0045	2019	148 	Kuroshio	PAJ	2019K	124.00	24.52	Mie	161	-13	Adawa	33.785	136.074
A0046	2019	148 	Kuroshio	PAJ	2019K	115.12	19.32	Mie	142	6	Adawa	33.785	136.074
A0047	2019	148 	Kuroshio	PAJ	2019K	192.09	99.53	Mie	NA	NA	Adawa	33.785	136.074
A0048	2019	156 	Kuroshio	PAJ	2019K	107.85	15.29	Mie	129	27	Narayaura	34.230	136.537
A0049	2019	156 	Kuroshio	PAJ	2019K	104.27	13.09	Mie	123	33	Narayaura	34.230	136.537
A0050	2019	156 	Kuroshio	PAJ	2019K	115.60	16.84	Mie	143	13	Narayaura	34.230	136.537
A0051	2019	156 	Kuroshio	PAJ	2019K	108.01	14.26	Mie	129	27	Narayaura	34.230	136.537
A0052	2019	156 	Kuroshio	PAJ	2019K	100.86	10.51	Mie	117	39	Narayaura	34.230	136.537
A0053	2019	156 	Kuroshio	PAJ	2019K	118.68	21.75	Mie	149	7	Narayaura	34.230	136.537
A0054	2019	156 	Kuroshio	PAJ	2019K	110.39	14.45	Mie	134	22	Narayaura	34.230	136.537
A0055	2019	156 	Kuroshio	PAJ	2019K	108.73	14.32	Mie	131	25	Narayaura	34.230	136.537
A0056	2019	156 	Kuroshio	PAJ	2019K	101.31	12.86	Mie	118	38	Narayaura	34.230	136.537
A0057	2019	156 	Kuroshio	PAJ	2019K	131.74	31.13	Mie	179	-23	Narayaura	34.230	136.537
A0058	2019	156 	Kuroshio	PAJ	2019K	99.68	12.07	Mie	116	40	Narayaura	34.230	136.537
A0059	2019	156 	Kuroshio	PAJ	2019K	111.76	15.52	Mie	136	20	Narayaura	34.230	136.537
A0060	2019	156 	Kuroshio	PAJ	2019K	123.80	23.39	Mie	160	-4	Narayaura	34.230	136.537
A0061	2019	156 	Kuroshio	PAJ	2019K	110.81	14.73	Mie	134	22	Narayaura	34.230	136.537
A0062	2019	132 	Tsushima	ECS	2019T	66.61	3.61	Kumamoto	72	60	KM23	29.637	127.170
A0063	2019	132 	Tsushima	ECS	2019T	64.63	3.21	Kumamoto	70	62	KM23	29.637	127.170
A0064	2019	132 	Tsushima	ECS	2019T	66.09	3.20	Kumamoto	72	60	KM23	29.637	127.170
A0065	2019	132 	Tsushima	ECS	2019T	64.96	3.46	Kumamoto	71	61	KM23	29.637	127.170
A0066	2019	132 	Tsushima	ECS	2019T	60.27	2.63	Kumamoto	66	66	KM23	29.637	127.170
A0067	2019	132 	Tsushima	ECS	2019T	64.17	3.21	Kumamoto	70	62	KM23	29.637	127.170
A0068	2019	132 	Tsushima	ECS	2019T	70.39	4.28	Kumamoto	77	55	KM23	29.637	127.170
A0069	2019	132 	Tsushima	ECS	2019T	55.20	2.23	Kumamoto	60	72	KM23	29.637	127.170
A0070	2019	132 	Tsushima	ECS	2019T	59.53	2.38	Kumamoto	65	67	KM23	29.637	127.170
A0071	2019	132 	Tsushima	ECS	2019T	61.33	2.53	Kumamoto	67	65	KM23	29.637	127.170
A0072	2019	132 	Tsushima	ECS	2019T	61.86	2.75	Kumamoto	67	65	KM23	29.637	127.170
A0073	2019	132 	Tsushima	ECS	2019T	62.88	3.14	Kumamoto	68	64	KM23	29.637	127.170
A0074	2019	133 	Tsushima	ECS	2019T	96.54	9.78	Kumamoto	111	22	KM9	27.640	124.657
A0075	2019	133 	Tsushima	ECS	2019T	95.62	11.29	Kumamoto	109	24	KM9	27.640	124.657
A0076	2019	133 	Tsushima	ECS	2019T	75.48	4.21	Kumamoto	83	50	KM9	27.640	124.657
A0077	2019	133 	Tsushima	ECS	2019T	94.13	10.53	Kumamoto	107	26	KM9	27.640	124.657
A0078	2019	133 	Tsushima	ECS	2019T	91.13	9.05	Kumamoto	103	30	KM9	27.640	124.657
A0079	2019	133 	Tsushima	ECS	2019T	101.95	13.31	Kumamoto	119	14	KM5	27.135	124.114
A0080	2019	133 	Tsushima	ECS	2019T	92.91	10.11	Kumamoto	105	28	KM5	27.135	124.114
A0081	2019	133 	Tsushima	ECS	2019T	98.02	13.66	Kumamoto	113	20	KM5	27.135	124.114
A0082	2019	133 	Tsushima	ECS	2019T	97.07	12.81	Kumamoto	112	21	KM5	27.135	124.114
A0083	2019	133 	Tsushima	ECS	2019T	93.53	10.58	Kumamoto	106	27	KM5	27.135	124.114
A0084	2019	138 	Tsushima	ECS	2019T	71.93	4.34	Kumamoto	78	60	KMM88	26.671	123.838
A0085	2019	138 	Tsushima	ECS	2019T	73.48	4.56	Kumamoto	80	58	KMM88	26.671	123.838
A0086	2019	138 	Tsushima	ECS	2019T	76.27	4.42	Kumamoto	84	54	KMM88	26.671	123.838
A0087	2019	138 	Tsushima	ECS	2019T	70.49	4.04	Kumamoto	77	61	KMM88	26.671	123.838
A0088	2019	138 	Tsushima	ECS	2019T	74.33	5.20	Kumamoto	81	57	KMM88	26.671	123.838
A0094	2019	132 	Tsushima	ECS	2019T	163.46	68.03	Kumamoto	NA	NA	KM22	29.637	126.655
A0099	2019	148 	Tsushima	ECS	2019T	86.48	7.35	Kumamoto	97	51	KM16	28.638	125.670
A0100	2019	148 	Tsushima	ECS	2019T	82.08	6.55	Kumamoto	91	57	KM16	28.638	125.670
A0101	2019	148 	Tsushima	ECS	2019T	85.32	7.27	Kumamoto	95	53	KM16	28.638	125.670
A0102	2019	148 	Tsushima	ECS	2019T	98.27	10.92	Kumamoto	113	35	KM16	28.638	125.670
A0103	2019	148 	Tsushima	ECS	2019T	91.82	7.90	Kumamoto	104	44	KM16	28.638	125.670
A0104	2019	148 	Tsushima	ECS	2019T	92.76	8.95	Kumamoto	105	43	KM16	28.638	125.670
A0105	2019	147 	Tsushima	ECS	2019T	99.77	13.03	Kumamoto	116	31	KM14	28.178	125.677
A0106	2019	147 	Tsushima	ECS	2019T	88.35	8.35	Kumamoto	99	48	KM14	28.178	125.677
A0107	2019	147 	Tsushima	ECS	2019T	89.50	7.93	Kumamoto	101	46	KM14	28.178	125.677
A0108	2019	147 	Tsushima	ECS	2019T	92.15	9.30	Kumamoto	104	43	KM14	28.178	125.677
A0109	2019	147 	Tsushima	ECS	2019T	97.20	10.93	Kumamoto	112	35	KM14	28.178	125.677
A0110	2019	161 	Tsushima	ECS	2019T	101.15	11.20	Kumamoto	118	43	KM39	30.582	127.397
A0111	2019	161 	Tsushima	ECS	2019T	108.56	14.06	Kumamoto	130	31	KM39	30.582	127.397
A0112	2019	161 	Tsushima	ECS	2019T	97.66	10.21	Kumamoto	112	49	KM39	30.582	127.397
A0113	2019	161 	Tsushima	ECS	2019T	98.05	10.97	Kumamoto	113	48	KM39	30.582	127.397
A0114	2019	161 	Tsushima	ECS	2019T	88.53	7.54	Kumamoto	99	62	KM39	30.582	127.397
A0115	2019	161 	Tsushima	ECS	2019T	94.91	9.49	Kumamoto	108	53	KM39	30.582	127.397
A0116	2019	161 	Tsushima	ECS	2019T	94.92	8.56	Kumamoto	108	53	KM39	30.582	127.397
A0117	2019	161 	Tsushima	ECS	2019T	102.10	11.71	Kumamoto	119	42	KM39	30.582	127.397
A0118	2019	161 	Tsushima	ECS	2019T	110.11	16.67	Kumamoto	133	28	KM39	30.582	127.397
A0119	2019	161 	Tsushima	ECS	2019T	96.17	9.26	Kumamoto	110	51	KM39	30.582	127.397
A0120	2019	150 	Tsushima	ECS	2019T	200.92	115.15	Kumamoto	NA	NA	KM19	29.158	126.142
A0121	2019	150 	Tsushima	ECS	2019T	198.17	113.49	Kumamoto	NA	NA	KM19	29.158	126.142
A0122	2019	150 	Tsushima	ECS	2019T	223.68	180.37	Kumamoto	NA	NA	KM19	29.158	126.142
A0123	2019	150 	Tsushima	ECS	2019T	202.02	129.14	Kumamoto	NA	NA	KM19	29.158	126.142
A0124	2019	150 	Tsushima	ECS	2019T	194.16	110.58	Kumamoto	NA	NA	KM19	29.158	126.142
A0125	2019	150 	Tsushima	ECS	2019T	194.41	110.74	Kumamoto	NA	NA	KM19	29.158	126.142
A0126	2019	150 	Tsushima	ECS	2019T	189.85	104.59	Kumamoto	NA	NA	KM19	29.158	126.142
A0127	2019	150 	Tsushima	ECS	2019T	209.25	152.43	Kumamoto	NA	NA	KM19	29.158	126.142
A0128	2019	150 	Tsushima	ECS	2019T	187.38	103.44	Kumamoto	NA	NA	KM19	29.158	126.142
A0129	2019	150 	Tsushima	ECS	2019T	182.07	89.06	Kumamoto	NA	NA	KM19	29.158	126.142
A0130	2019	148 	Tsushima	ECS	2019T	174.18	78.30	Kumamoto	NA	NA	KM109	28.433	126.657
A0131	2019	148 	Tsushima	ECS	2019T	167.55	66.66	Kumamoto	NA	NA	KM109	28.433	126.657
A0132	2019	148 	Tsushima	ECS	2019T	180.24	81.46	Kumamoto	NA	NA	KM109	28.433	126.657
A0133	2019	148 	Tsushima	ECS	2019T	173.16	71.47	Kumamoto	NA	NA	KM109	28.433	126.657
A0134	2019	148 	Tsushima	ECS	2019T	173.80	78.66	Kumamoto	NA	NA	KM109	28.433	126.657
A0135	2019	148 	Tsushima	ECS	2019T	186.28	87.99	Kumamoto	NA	NA	KM109	28.433	126.657
A0136	2019	148 	Tsushima	ECS	2019T	178.29	73.67	Kumamoto	NA	NA	KM109	28.433	126.657
A0137	2019	148 	Tsushima	ECS	2019T	184.35	74.71	Kumamoto	NA	NA	KM109	28.433	126.657
A0138	2019	148 	Tsushima	ECS	2019T	180.51	84.67	Kumamoto	NA	NA	KM109	28.433	126.657
A0139	2019	148 	Tsushima	ECS	2019T	182.13	79.97	Kumamoto	NA	NA	KM109	28.433	126.657
A0140	2019	138 	Tsushima	ECS	2019T	89.74	8.93	Kumamoto	101	37	KM1049	26.563	123.945
A0141	2019	138 	Tsushima	ECS	2019T	97.05	13.46	Kumamoto	112	26	KM1049	26.563	123.945
A0142	2019	138 	Tsushima	ECS	2019T	101.39	12.88	Kumamoto	118	20	KM1049	26.563	123.945
A0143	2019	138 	Tsushima	ECS	2019T	102.00	13.24	Kumamoto	119	19	KM1049	26.563	123.945
A0144	2019	138 	Tsushima	ECS	2019T	98.06	11.55	Kumamoto	113	25	KM1049	26.563	123.945
A0145	2019	138 	Tsushima	ECS	2019T	85.38	8.17	Kumamoto	95	43	KM57	26.732	124.412
A0146	2019	138 	Tsushima	ECS	2019T	74.51	4.71	Kumamoto	81	57	KM57	26.732	124.412
A0147	2019	138 	Tsushima	ECS	2019T	73.66	4.54	Kumamoto	80	58	KM57	26.732	124.412
A0148	2019	138 	Tsushima	ECS	2019T	76.79	6.20	Kumamoto	84	54	KM57	26.732	124.412
A0149	2019	138 	Tsushima	ECS	2019T	83.19	7.02	Kumamoto	92	46	KM57	26.732	124.412
A0150	2019	139 	Tsushima	ECS	2019T	184.43	92.10	Kumamoto	NA	NA	KM1089	26.470	124.670
A0151	2019	139 	Tsushima	ECS	2019T	188.06	95.72	Kumamoto	NA	NA	KM1089	26.470	124.670
A0152	2019	139 	Tsushima	ECS	2019T	181.58	90.59	Kumamoto	NA	NA	KM1089	26.470	124.670
A0153	2019	139 	Tsushima	ECS	2019T	183.01	96.80	Kumamoto	NA	NA	KM1089	26.470	124.670
A0154	2019	139 	Tsushima	ECS	2019T	187.56	96.06	Kumamoto	NA	NA	KM1089	26.470	124.670
A0155	2019	139 	Tsushima	ECS	2019T	182.26	91.76	Kumamoto	NA	NA	KM90	26.542	124.745
A0156	2019	139 	Tsushima	ECS	2019T	174.67	74.91	Kumamoto	NA	NA	KM90	26.542	124.745
A0157	2019	139 	Tsushima	ECS	2019T	180.31	85.93	Kumamoto	NA	NA	KM90	26.542	124.745
A0158	2019	139 	Tsushima	ECS	2019T	177.01	90.20	Kumamoto	NA	NA	KM90	26.542	124.745
A0159	2019	139 	Tsushima	ECS	2019T	179.86	76.05	Kumamoto	NA	NA	KM108	26.592	125.070
A0160	2019	139 	Tsushima	ECS	2019T	205.00	116.97	Kumamoto	NA	NA	KM108	26.592	125.070
A0161	2019	139 	Tsushima	ECS	2019T	197.83	108.78	Kumamoto	NA	NA	KM108	26.592	125.070
A0162	2019	139 	Tsushima	ECS	2019T	182.66	82.20	Kumamoto	NA	NA	KM108	26.592	125.070
A0163	2019	139 	Tsushima	ECS	2019T	173.80	71.86	Kumamoto	NA	NA	KM108	26.592	125.070
A0164	2019	139 	Tsushima	ECS	2019T	71.93	4.34	Kumamoto	78	61	KM85	27.623	125.938
A0165	2019	146 	Tsushima	ECS	2019T	73.48	4.56	Kumamoto	80	66	KM85	27.623	125.938
A0166	2019	146 	Tsushima	ECS	2019T	76.27	4.42	Kumamoto	84	62	KM85	27.623	125.938
A0167	2019	146 	Tsushima	ECS	2019T	70.49	4.04	Kumamoto	77	69	KM85	27.623	125.938
A0168	2019	146 	Tsushima	ECS	2019T	74.33	5.20	Kumamoto	81	65	KM85	27.623	125.938
A0169	2019	146 	Tsushima	ECS	2019T	70.65	4.46	Kumamoto	77	69	KM85	27.623	125.938
A0170	2019	146 	Tsushima	ECS	2019T	90.95	8.88	Kumamoto	103	43	KM85	27.623	125.938
A0171	2019	146 	Tsushima	ECS	2019T	92.45	9.30	Kumamoto	105	41	KM85	27.623	125.938
A0172	2019	146 	Tsushima	ECS	2019T	70.96	3.98	Kumamoto	77	69	KM85	27.623	125.938
A0173	2019	146 	Tsushima	ECS	2019T	85.33	6.27	Kumamoto	95	51	KM85	27.623	125.938
A0174	2019	161 	Tsushima	ECS	2019T	90.73	7.52	Kumamoto	102	59	KM29	30.670	127.122
A0175	2019	161 	Tsushima	ECS	2019T	89.60	7.71	Kumamoto	101	60	KM29	30.670	127.122
A0176	2019	161 	Tsushima	ECS	2019T	93.74	8.47	Kumamoto	107	54	KM29	30.670	127.122
A0177	2019	161 	Tsushima	ECS	2019T	90.91	7.40	Kumamoto	103	58	KM29	30.670	127.122
A0178	2019	161 	Tsushima	ECS	2019T	88.90	8.27	Kumamoto	100	61	KM29	30.670	127.122
A0179	2019	161 	Tsushima	ECS	2019T	99.69	12.05	Kumamoto	116	45	KM26_1	30.127	127.145
A0180	2019	161 	Tsushima	ECS	2019T	97.19	10.18	Kumamoto	112	49	KM26_1	30.127	127.145
A0181	2019	161 	Tsushima	ECS	2019T	87.49	6.68	Kumamoto	98	63	KM26_1	30.127	127.145
A0182	2019	161 	Tsushima	ECS	2019T	97.48	10.33	Kumamoto	112	49	KM26_1	30.127	127.145
A0183	2019	161 	Tsushima	ECS	2019T	96.22	10.16	Kumamoto	110	51	KM26_1	30.127	127.145
A0189	2019	162 	Tsushima	ECS	2019T	85.13	7.02	Kumamoto	95	67	KM25	30.130	126.688
A0190	2019	162 	Tsushima	ECS	2019T	81.72	6.11	Kumamoto	90	72	KM25	30.130	126.688
A0191	2019	162 	Tsushima	ECS	2019T	93.23	8.62	Kumamoto	106	56	KM25	30.130	126.688
A0193	2019	162 	Tsushima	ECS	2019T	93.83	10.62	Kumamoto	107	55	KM25	30.130	126.688
A0194	2019	162 	Tsushima	ECS	2019T	101.89	11.92	Kumamoto	119	43	KM25	30.130	126.688
A0195	2019	162 	Tsushima	ECS	2019T	95.82	10.99	Kumamoto	110	52	KM25	30.130	126.688
A0196	2019	162 	Tsushima	ECS	2019T	89.92	7.74	Kumamoto	101	61	KM25	30.130	126.688
A0197	2019	162 	Tsushima	ECS	2019T	91.24	8.26	Kumamoto	103	59	KM25	30.130	126.688
A0198	2019	162 	Tsushima	ECS	2019T	99.69	10.63	Kumamoto	116	46	KM25	30.130	126.688
A0199	2019	165 	Tsushima	ECS	2019T	202.78	128.72	Kumamoto	NA	NA	KM35	32.128	127.128
A0200	2019	165 	Tsushima	ECS	2019T	198.92	121.46	Kumamoto	NA	NA	KM35	32.128	127.128
A0201	2019	165 	Tsushima	ECS	2019T	202.56	133.52	Kumamoto	NA	NA	KM35	32.128	127.128
A0202	2019	165 	Tsushima	ECS	2019T	213.76	148.68	Kumamoto	NA	NA	KM35	32.128	127.128
A0203	2019	165 	Tsushima	ECS	2019T	204.78	127.57	Kumamoto	NA	NA	KM35	32.128	127.128
A0204	2019	165 	Tsushima	ECS	2019T	201.52	131.46	Kumamoto	NA	NA	KM35	32.128	127.128
A0205	2019	165 	Tsushima	ECS	2019T	200.95	134.98	Kumamoto	NA	NA	KM35	32.128	127.128
A0206	2019	165 	Tsushima	ECS	2019T	207.12	136.93	Kumamoto	NA	NA	KM35	32.128	127.128
A0207	2019	165 	Tsushima	ECS	2019T	193.73	118.00	Kumamoto	NA	NA	KM35	32.128	127.128
A0208	2019	165 	Tsushima	ECS	2019T	190.01	105.97	Kumamoto	NA	NA	KM35	32.128	127.128
A0209	2019	165 	Tsushima	ECS	2019T	208.16	130.39	Kumamoto	NA	NA	KM73	32.118	127.423
A0210	2019	165 	Tsushima	ECS	2019T	211.79	141.73	Kumamoto	NA	NA	KM73	32.118	127.423
A0211	2019	165 	Tsushima	ECS	2019T	214.98	147.44	Kumamoto	NA	NA	KM73	32.118	127.423
A0212	2019	165 	Tsushima	ECS	2019T	212.87	156.05	Kumamoto	NA	NA	KM73	32.118	127.423
A0213	2019	165 	Tsushima	ECS	2019T	240.29	199.21	Kumamoto	NA	NA	KM73	32.118	127.423
A0214	2019	165 	Tsushima	ECS	2019T	216.93	149.20	Kumamoto	NA	NA	KM73	32.118	127.423
A0215	2019	165 	Tsushima	ECS	2019T	202.62	142.97	Kumamoto	NA	NA	KM73	32.118	127.423
A0216	2019	165 	Tsushima	ECS	2019T	223.38	172.54	Kumamoto	NA	NA	KM73	32.118	127.423
A0217	2019	165 	Tsushima	ECS	2019T	221.40	171.06	Kumamoto	NA	NA	KM73	32.118	127.423
A0218	2019	165 	Tsushima	ECS	2019T	225.33	178.69	Kumamoto	NA	NA	KM73	32.118	127.423
A0219	2019	167 	Tsushima	ECS	2019T	199.79	124.28	Kumamoto	NA	NA	KM71	31.072	127.803
A0220	2019	167 	Tsushima	ECS	2019T	217.31	140.52	Kumamoto	NA	NA	KM71	31.072	127.803
A0221	2019	167 	Tsushima	ECS	2019T	215.55	140.15	Kumamoto	NA	NA	KM71	31.072	127.803
A0222	2019	167 	Tsushima	ECS	2019T	205.65	123.38	Kumamoto	NA	NA	KM71	31.072	127.803
A0223	2019	141 	Tsushima	TWC	2019T	42.97	1.14	Tottori	49	92	st_1	35.668	133.359
A0224	2019	141 	Tsushima	TWC	2019T	47.25	1.18	Tottori	53	88	st_1	35.668	133.359
A0225	2019	141 	Tsushima	TWC	2019T	54.23	1.74	Tottori	59	82	st_1	35.668	133.359
A0226	2019	141 	Tsushima	TWC	2019T	49.44	1.39	Tottori	55	86	st_1	35.668	133.359
A0227	2019	141 	Tsushima	TWC	2019T	47.22	1.21	Tottori	53	88	st_1	35.668	133.359
A0228	2019	141 	Tsushima	TWC	2019T	40.54	0.77	Tottori	47	94	st_1	35.668	133.359
A0229	2019	141 	Tsushima	TWC	2019T	32.10	0.40	Tottori	39	102	st_1	35.668	133.359
A0230	2019	141 	Tsushima	TWC	2019T	49.49	1.32	Tottori	55	86	st_1	35.668	133.359
A0231	2019	141 	Tsushima	TWC	2019T	39.09	0.65	Tottori	45	96	st_1	35.668	133.359
A0232	2019	141 	Tsushima	TWC	2019T	51.16	1.74	Tottori	56	85	st_1	35.668	133.359
A0233	2019	141 	Tsushima	TWC	2019T	60.28	2.66	Tottori	66	75	st_2	35.836	133.349
A0234	2019	141 	Tsushima	TWC	2019T	37.87	0.73	Tottori	44	97	st_2	35.836	133.349
A0235	2019	141 	Tsushima	TWC	2019T	38.94	0.66	Tottori	45	96	st_2	35.836	133.349
A0236	2019	141 	Tsushima	TWC	2019T	66.55	3.42	Tottori	72	69	st_2	35.836	133.349
A0237	2019	141 	Tsushima	TWC	2019T	61.42	2.49	Tottori	67	74	st_2	35.836	133.349
A0238	2019	141 	Tsushima	TWC	2019T	42.24	0.87	Tottori	48	93	st_2	35.836	133.349
A0248	2019	134 	Tsushima	TWC	2019T	26.82	0.25	Shimane	35	99	S111	35.836	133.349
A0249	2019	134 	Tsushima	TWC	2019T	36.80	0.69	Shimane	43	91	S111	35.836	133.349
A0250	2019	134 	Tsushima	TWC	2019T	36.38	0.66	Shimane	43	91	S111	35.836	133.349
A0251	2019	134 	Tsushima	TWC	2019T	49.63	1.42	Shimane	55	79	S111	35.836	133.349
A0252	2019	134 	Tsushima	TWC	2019T	39.93	0.83	Shimane	46	88	S111	35.836	133.349
A0253	2019	134 	Tsushima	TWC	2019T	40.51	0.91	Shimane	46	88	S111	35.836	133.349
A0254	2019	134 	Tsushima	TWC	2019T	40.67	0.92	Shimane	47	87	S111	35.836	133.349
A0255	2019	134 	Tsushima	TWC	2019T	45.81	1.38	Shimane	51	83	S111	35.836	133.349
A0256	2019	134 	Tsushima	TWC	2019T	43.40	1.01	Shimane	49	85	S111	35.836	133.349
A0257	2019	134 	Tsushima	TWC	2019T	36.95	0.79	Shimane	43	91	S111	35.836	133.349
A0258	2019	136 	Tsushima	TWC	2019T	34.79	0.51	Shimane	41	95	S141	34.843	131.599
A0259	2019	136 	Tsushima	TWC	2019T	43.52	0.95	Shimane	49	87	S141	34.843	131.599
A0260	2019	136 	Tsushima	TWC	2019T	48.35	1.11	Shimane	54	82	S141	34.843	131.599
A0261	2019	136 	Tsushima	TWC	2019T	20.56	0.12	Shimane	30	106	S142	35.081	131.586
A0262	2019	136 	Tsushima	TWC	2019T	36.93	0.61	Shimane	43	93	S142	35.081	131.586
A0263	2019	136 	Tsushima	TWC	2019T	48.07	1.56	Shimane	53	83	S142	35.081	131.586
A0264	2019	136 	Tsushima	TWC	2019T	45.64	1.11	Shimane	51	85	S142	35.081	131.586
A0265	2019	136 	Tsushima	TWC	2019T	42.88	0.96	Shimane	49	87	S142	35.081	131.586
A0267	2019	136 	Tsushima	TWC	2019T	44.71	1.08	Shimane	50	86	S142	35.081	131.586
A0268	2019	136 	Tsushima	TWC	2019T	46.10	1.30	Shimane	52	84	S142	35.081	131.586
A0269	2019	136 	Tsushima	TWC	2019T	48.78	1.27	Shimane	54	82	S142	35.081	131.586
A0270	2019	136 	Tsushima	TWC	2019T	50.42	1.46	Shimane	56	80	S142	35.081	131.586
A0271	2019	136 	Tsushima	TWC	2019T	39.08	0.71	Shimane	45	91	S142	35.081	131.586
A0272	2019	136 	Tsushima	TWC	2019T	42.39	0.83	Shimane	48	88	S142	35.081	131.586
A0273	2019	136 	Tsushima	TWC	2019T	41.89	0.87	Shimane	48	88	S142	35.081	131.586
